BANSKOBYSTRICKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
OKRES BANSKÁ BYSTRICA;;;;;;;;;;;;;;;;;;;;;;;;;
Pohronská Polhora;obec;;;;;;;;;;;;áno;nie;áno;áno;17;52.9;17.6;0.0;11.8;94.1;123;7.2;7.2
Pohronská Polhora;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;nie;áno;nie;áno;iná;;;;;12;50.0;8.3;0.0;0.0;100.0;70;5.8;
Pohronská Polhora;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;nie;áno;áno;áno;asfaltová;;;;;4;50.0;50.0;0.0;50.0;75.0;29;7.3;
Pohronská Polhora;obec;intravilán;integrované/koncentrované;;;vysporiadané;nie;nie;áno;nie;áno;asfaltová;;;;;1;100.0;0.0;0.0;0.0;100.0;24;24.0;
Polomka;obec;intravilán;na okraji;;;vysporiadané;áno;čiastočne;áno;čiastočne;áno;asfaltová;áno;čiastočne;áno;áno;28;96.4;96.4;3.6;7.1;96.4;381;13.6;12.1
Šumiac;obec;intravilán;mimo obce;20;potok;vysporiadané;áno;nie;áno;nie;áno;asfaltová;áno;nie;áno;nie;32;71.9;71.9;0.0;0.0;93.8;320;10.0;21.7
Telgárt;obec;;;;;;;;;;;;áno;nie;áno;nie;36;100.0;*;0.0;0.0;*;590;17.1;38.3
Telgárt;obec;intravilán;na okraji;;;vysporiadané;*;*;áno;nie;áno;iná;;;;;23;100.0;*;0.0;0.0;*;354;15.4;
Telgárt;obec;intravilán;na okraji;;;vysporiadané;*;*;áno;nie;áno;iná;;;;;13;100.0;*;0.0;0.0;*;236;18.2;
Valaská;obec;;;;;;;;;;;;áno;áno;áno;áno;52;100.0;*;*;*;*;400;11.5;10.3
Valaská;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;áno;áno;asfaltová;;;;;22;100.0;100.0;100.0;100.0;100.0;120;6.8;
Valaská;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;áno;áno;;;;;;30;100.0;*;*;*;*;280;15.0;
Vaľkovňa;obec;intravilán;na okraji;;;vysporiadané;áno;čiastočne;áno;nie;áno;asfaltová;áno;nie;áno;nie;15;100.0;100.0;66.7;0.0;100.0;168;11.2;51.4
Závadka;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;čiastočne;áno;čiastočne;áno;asfaltová;áno;nie;áno;áno;50;100.0;100.0;*;46.0;100.0;300;6.0;12.2
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES DETVA;;;;;;;;;;;;;;;;;;;;;;;;;
Detva;mesto;;;;;;;;;;;;áno;čiastočne;áno;čiastočne;200;99.0;98.5;98.5;91.0;99.5;735;4.8;4.9
Detva;mesto;intravilán;na okraji;;;čiastočne vysporiadané;áno;áno;áno;áno;áno;asfaltová;;;;;10;100.0;100.0;100.0;100.0;100.0;96;9.6;
Detva;mesto;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;čiastočne;čiastočne;čiastočne;áno;;;;;;24;100.0;95.8;95.8;75.0;95.8;112;5.5;
Detva;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;áno;áno;*;;;;;164;100.0;100.0;100.0;100.0;*;527;4.0;
Dúbravy;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;10;90.0;100.0;0.0;0.0;100.0;43;4.3;4.4
Hriňová;obec;;;;;;;;;;;;áno;áno;áno;čiastočne;44;81.8;86.4;65.9;11.4;100.0;162;3.7;2.0
Hriňová;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;áno;nie;áno;nie;áno;;;;;;7;100.0;100.0;0.0;0.0;100.0;43;6.1;
Hriňová;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;nie;áno;asfaltová;;;;;24;100.0;100.0;100.0;0.0;100.0;52;2.2;
Hriňová;obec;extravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;nie;;;;;;3;0.0;66.7;0.0;0.0;100.0;5;1.7;
Hriňová;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;nie;áno;;;;;;5;0.0;0.0;0.0;0.0;100.0;32;6.4;
Hriňová;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;áno;áno;asfaltová;;;;;5;100.0;100.0;100.0;100.0;100.0;30;6.0;
Kalinka- Vígľašská Huta;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;3;100.0;100.0;0.0;0.0;100.0;15;5.0;4.0
Vígľaš;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;26;100.0;100.0;0.0;65.4;100.0;92;3.2;5.6
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES KRUPINA;;;;;;;;;;;;;;;;;;;;;;;;;
Bzovík;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;nie;áno;iná;áno;čiastočne;áno;nie;15;66.7;33.3;0.0;0.0;100.0;110;8.7;11.1
Cerovo;obec;;;;;;;;;;;;áno;čiastočne;áno;nie;12;41.7;25.0;16.7;0.0;25.0;48;4.0;8.1
Cerovo;obec;extravilán;mimo obce;500;;vysporiadané;nie;nie;nie;nie;nie;iná;;;;;2;100.0;0.0;0.0;0.0;0.0;6;3.0;
Cerovo;obec;extravilán;mimo obce;500;;vysporiadané;áno;nie;nie;nie;nie;asfaltová;;;;;6;16.7;0.0;0.0;0.0;0.0;25;8.2;
Cerovo;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;nie;áno;;;;;;3;100.0;100.0;66.7;0.0;100.0;17;5.7;
Čekovce;obec;;;;;;;;;;;;áno;nie;áno;nie;19;26.3;52.6;0.0;0.0;100.0;50;3.1;11.4
Čekovce;obec;extravilán;mimo obce;100;;vysporiadané;áno;nie;áno;nie;áno;iná;;;;;14;0.0;35.7;0.0;0.0;100.0;36;2.6;
Čekovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;;;;;5;100.0;100.0;0.0;0.0;100.0;14;4.4;
Domaníky;obec;intravilán;mimo obce;300;družstvo;vysporiadané;áno;nie;áno;nie;áno;asfaltová;áno;nie;áno;nie;7;100.0;85.7;0.0;0.0;85.7;47;6.7;23.5
Hontianske Moravce;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;áno;čiastočne;áno;áno;2;100.0;50.0;0.0;0.0;50.0;34;17.0;3.8
Hontianske Nemce;obec;;;;;;;;;;;;áno;nie;áno;čiastočne;6;100.0;33.3;0.0;0.0;83.3;52;16.5;3.3
Hontianske Nemce;obec;intravilán;mimo obce;1000;iné;nevysporiadané;áno;nie;nie;nie;nie;asfaltová;;;;;1;100.0;100.0;0.0;0.0;0.0;20;15.0;
