TRNAVSKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
Sereď;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;áno;áno;asfaltová;;;;;17;94.1;94.1;94.1;94.1;94.1;69;7.4;
Sereď;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;áno;áno;asfaltová;;;;;4;100.0;100.0;100.0;100.0;100.0;19;13.8;
Sereď;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;áno;áno;;;;;;28;100.0;100.0;85.7;85.7;100.0;200;8.9;
Sládkovičovo;mesto;;;;;;;;;;;;áno;čiastočne;áno;čiastočne;139;100.0;49.6;*;*;97.8;750;5.4;13.3
Sládkovičovo;mesto;intravilán;na okraji;;;vysporiadané;áno;nie;áno;čiastočne;čiastočne;iná;;;;;74;100.0;5.4;0.0;0.0;95.9;500;6.8;
Sládkovičovo;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;čiastočne;áno;;;;;;65;100.0;100.0;*;*;100.0;250;3.8;
Šoporňa ;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;čiastočne;áno;áno;áno;;áno;čiastočne;áno;áno;57;100.0;86.0;28.1;78.9;100.0;300;5.3;7.3
Tomášikovo;obec;;;;;;;;;;;;áno;áno;áno;áno;36;100.0;63.9;0.0;2.8;97.2;190;5.6;12.1
Tomášikovo;obec;extravilán;mimo obce;2000;;čiastočne vysporiadané;áno;nie;áno;nie;áno;iná;;;;;17;100.0;100.0;0.0;0.0;100.0;88;5.8;
Tomášikovo;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;nie;áno;iná;;;;;13;100.0;7.7;0.0;0.0;100.0;61;4.7;
Tomášikovo;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;;;;;6;100.0;83.3;0.0;16.7;83.3;41;6.8;
Trhová Hradská;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;23;100.0;100.0;0.0;65.2;100.0;121;5.3;5.6
Trstice ;obec;;;;;;;;;;;;áno;nie;áno;áno;23;82.6;13.0;0.0;*;95.7;120;5.4;3.1
Trstice ;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;nie;áno;áno;áno;asfaltová;;;;;7;42.9;42.9;0.0;*;85.7;34;4.9;
Trstice ;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;;;;;16;100.0;0.0;0.0;37.5;100.0;86;5.6;
Váhovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;áno;čiastočne;áno;áno;35;100.0;100.0;0.0;100.0;100.0;200;5.7;9.6
Veľká Mača;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;25;100.0;20.0;0.0;72.0;100.0;132;5.3;5.1
Veľké Úľany;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;35;100.0;57.1;0.0;100.0;100.0;192;5.5;4.6
Veľký Grob;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;30;90.0;20.0;0.0;43.3;90.0;146;4.9;11.6
Vozokany;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;8;100.0;50.0;0.0;62.5;100.0;28;7.6;5.4
