NITRIANSKY KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
Tlmače;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;čiastočne;áno;;áno;áno;áno;čiastočne;50;100.0;100.0;100.0;100.0;100.0;184;3.7;4.3
Turá;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;áno;3;100.0;100.0;0.0;33.3;100.0;25;9.0;10.9
Veľké Ludince;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;43;100.0;58.1;0.0;25.6;100.0;164;3.8;9.8
Vyškovce nad Ipľom;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;nie;7;100.0;0.0;0.0;0.0;71.4;57;8.7;8.1
Vyšné nad Hronom;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;áno;4;100.0;100.0;0.0;75.0;100.0;26;6.5;13.8
Želiezovce;mesto;;;;;;;;;;;;áno;áno;áno;áno;42;100.0;*;*;*;*;359;8.5;4.8
Želiezovce;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;čiastočne;áno;asfaltová;;;;;4;100.0;100.0;100.0;25.0;100.0;66;16.5;
Želiezovce;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;áno;čiastočne;iná;;;;;6;100.0;33.3;16.7;100.0;100.0;61;10.2;
Želiezovce;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;nie;áno;áno;áno;asfaltová;;;;;4;100.0;50.0;0.0;50.0;100.0;49;12.3;
Želiezovce;mesto;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;áno;áno;áno;áno;;;;;;28;100.0;*;*;*;*;183;6.5;
Žemliare;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;4;100.0;75.0;0.0;75.0;100.0;25;6.3;15.3
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES NITRA;;;;;;;;;;;;;;;;;;;;;;;;;
Alekšince;obec;;;;;;;;;;;;áno;nie;áno;áno;29;100.0;100.0;0.0;31.0;100.0;121;4.2;7.1
Alekšince;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;nie;áno;nie;áno;iná;;;;;12;100.0;100.0;0.0;0.0;100.0;56;4.7;
Alekšince;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;;;;;17;100.0;100.0;0.0;52.9;100.0;65;3.8;
Cabaj-Čápor;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;nie;áno;čiastočne;áno;iná;áno;nie;áno;áno;13;100.0;*;0.0;*;*;112;9.2;3.2
Čakajovce;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;áno;25;100.0;52.0;0.0;68.0;100.0;167;6.7;15.2
Jelenec;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;10;100.0;10.0;0.0;20.0;100.0;82;8.2;4.2
Lužianky;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;44;100.0;22.7;0.0;31.8;100.0;264;6.0;10.4
Malé Zálužie;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;čiastočne;10;100.0;60.0;0.0;60.0;100.0;50;5.0;17.5
Mojmírovce;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;áno;čiastočne;áno;áno;áno;;áno;áno;áno;áno;80;100.0;12.5;12.5;31.3;100.0;352;4.4;13.1
Nitra;mesto;;;;;;;;;;;;áno;áno;áno;áno;*;*;*;*;*;*;2000;*;2.3
